Genre,Network,CPM,Spot Cost,# Downloads,Avg HHI,Daypart,Female %,Male %,Spot Length,Min Age,Max Age,Spend,Acquisitions,Client Count,CPA
News,Cadence13,35.00,1575.00,"45,000",60000.00,Tue;Fri,0.65,0.35,:60,25,54,8797.00,12.00,5.00,757.67
Leisure,Studio 71,23.00,4485.00,"195,000",80000.00,Tue,0.03,0.97,:60,18,45,12740.00,16.00,2.00,804.80
True Crime,Stitcher,31.76,31760.00,"1,000,000",50000.00,Thu,0.90,0.10,:60,13,64,237792.00,279.00,4.00,851.81
Comedy,Audioboom,46.00,7360.00,"160,000",100000.00,Fri,0.25,0.75,:60,18,45,6384.00,7.00,1.00,926.56
News,ESPN Podcast,30.00,0.00,"350,000",117468.00,Mon;Thu,0.25,0.75,:60,,,48568.00,52.00,2.00,935.79
Comedy,Paragon Collective,29.41,8824.00,"300,000",,Wed,0.65,0.35,:60,18,64,45918.00,47.00,4.00,967.11
Society and Culture,Podcast One,14.71,250.00,"17,000",75000.00,Wed,0.94,0.06,:60,,,1451.00,2.00,1.00,967.20
Comedy,Stitcher,45.29,45290.00,"1,000,000",100000.00,Wed,0.76,0.24,:60,13,64,238903.00,235.00,4.00,1018.43
Comedy,Dear Media,32.09,1764.71,"55,000",75000.00,Thu,0.95,0.05,:90,22,36,3529.00,3.00,1.00,1176.47
Comedy,Public Media Marketing,20.59,4118.00,"200,000",,Mon;Tue;Wed;Thu;Fri,0.38,0.62,:60,32,32,26744.00,22.00,3.00,1205.24
Comedy,Stitcher,29.41,5882.00,"200,000",100000.00,Tue;Thu,0.84,0.16,:60,21,65,31536.00,25.00,3.00,1261.45
Comedy,Paragon Collective,29.41,11765.00,"400,000",75000.00,Thu,0.50,0.50,:60,18,64,51520.00,41.00,3.00,1268.97
Comedy,Stitcher,41.17,41170.00,"1,000,000",100000.00,,0.47,0.53,:60,13,65,55882.00,44.00,1.00,1281.71
Technology,Rooster Teeth,23.52,4704.00,"200,000",,Tue,0.09,0.91,:60,18,35,24331.00,18.00,3.00,1318.05
Sports,Spotify USA Inc Podcast,39.60,52799.99,"1,333,333",,Mon;Wed;Fri,0.03,0.97,:60,,,198595.00,150.00,1.00,1323.97
Society and Culture,New York Times,29.41,95599.12,"3,250,565",75000.00,Sun,0.66,0.32,:30,18,60,66878.00,48.00,2.00,1386.37
Sports,Podcast Ad Reps,25.00,500.00,"20,000",,Fri,0.13,0.87,:60,18,45,3568.00,2.00,3.00,1486.67
Comedy,Audioboom,25.00,2000.00,"80,000",100000.00,Mon,0.35,0.65,:60,18,45,12570.00,8.00,4.00,1571.25
Comedy,Audioboom,30.00,13500.00,"450,000",100000.00,Fri,0.40,0.60,:60,32,32,12150.00,7.00,1.00,1789.40
Leisure,Studio 71,23.00,1978.00,"86,000",80000.00,Sun,0.07,0.93,:60,18,45,6086.00,3.00,2.00,2405.45
Health and Fitness,Radiotopia,25.00,3250.00,"130,000",,Wed;Sun,0.75,0.19,:30,,,17367.00,7.00,3.00,2480.99
Society and Culture,Audioboom,45.00,315.00,"7,000",100000.00,Tue,0.75,0.25,:60,18,45,2519.00,1.00,4.00,2518.66
Health and Fitness,Cadence13,42.00,8400.00,"200,000",60000.00,Wed,0.80,0.20,:60,25,54,63684.00,25.00,4.00,2577.26
Comedy,Radiotopia,25.00,4550.00,"182,000",,Sat,0.57,0.29,:30,,,17587.00,6.00,2.00,2864.28
Arts,Kast Media,23.00,5290.00,"230,000",75000.00,Wed,0.65,0.35,:60,25,44,29182.00,9.00,3.00,3308.66
Society and Culture,Premiere Podcast,22.50,2146.64,"95,406",,Mon,0.96,0.04,:60,18,55,9309.00,2.00,3.00,6205.95
Comedy,Public Media Marketing,41.18,10295.00,"250,000",,Mon;Tue;Wed;Thu;Fri,0.20,0.80,:60,33,33,30885.00,3.00,2.00,9083.82
True Crime,Cadence13,20.00,8000.00,"400,000",75000.00,Mon,0.60,0.40,:60,25,54,102320.00,7.00,3.00,14617.14
